Site;ASV;Node_Category;Eigen_Centrality;Degree_Centrality;Betweenness_Centrality;Membership
Quintero;ASV0127;Core;8,92E-19;2;0;29
Quintero;ASV0134;Core;1,44E-07;29;1353,807957;1
Quintero;ASV0135;Core;4,16E-10;2;1797;1
Quintero;ASV0142;Core;1,88E-06;34;4939,923965;1
Quintero;ASV0143;Core;6,12E-09;4;6356,112044;2
Quintero;ASV0145;Core;3,92E-07;28;2719,99665;1
Quintero;ASV0147;Core;1,88E-06;32;4153,786395;1
Quintero;ASV0206;Core;3,02E-08;6;12557,27551;1
Quintero;ASV0210;Core;7,85E-07;33;3087,169478;1
Quintero;ASV0223;Core;1,58E-07;23;1616,705793;1
Quintero;ASV0238;Core;3,36E-09;3;29,73418729;2
Quintero;ASV0261;Core;1,64E-06;40;17606,0816;1
Quintero;ASV0270;Core;2,58E-07;5;51,10459805;1
Quintero;ASV0273;Core;1,63E-06;21;3644,598723;1
Quintero;ASV0277;Core;4,82E-07;38;5505,103191;1
Quintero;ASV0279;Core;1,48E-07;25;9915,496889;1
Quintero;ASV0315;Core;0,007680589;25;19928,22531;1
Quintero;ASV0382;Core;9,11E-09;10;1232,323491;1
Quintero;ASV0395;Core;2,23E-09;7;448,369026;1
Quintero;ASV0403;Core;1,29E-07;31;3294,193843;1
Quintero;ASV0442;Core;1,16E-10;2;78,78002894;4
Quintero;ASV0452;Core;1,99E-05;5;354,8998356;1
Quintero;ASV0462;Core;1,38E-06;2;466,805718;4
Quintero;ASV0510;Core;1,47E-06;6;50,20180849;1
Quintero;ASV0561;Core;7,43E-08;24;1277,490493;1
Quintero;ASV0569;Core;3,08E-06;1;0;5
Quintero;ASV0631;Core;8,85E-08;29;2094,519416;1
Quintero;ASV0688;Core;1,02E-10;1;0;2
Quintero;ASV0711;Core;8,58E-08;28;2023,784271;1
Quintero;ASV0775;Core;1,29E-18;3;0;23
Quintero;ASV0799;Core;3,16E-10;3;0;13
